interval_index,start_comment_event_idx,end_comment_event_idx,interval_mean,n_records
0,25,48,-63.237781277229864,22
1,48,77,74.52455792184745,28
2,77,245,32.48494259723801,167
3,245,277,2.0089826318485255,31
4,277,346,30.19092492334851,68
5,346,397,33.35514130247353,50
6,397,448,6.6819975652084125,50
7,448,569,43.665186210465556,120
8,569,621,58.218114674676784,51
9,621,652,-17.681621997571497,30
10,652,664,8.620539839474937,11
11,664,675,26.255830856409357,10
12,675,691,-1.2486378897931194,15
13,691,701,179.2931743079467,9
14,701,717,90.34363697648045,15
15,717,725,31.014236395439365,7
16,725,739,109.98890870034458,13
17,739,750,154.3352039028196,10
18,750,760,259.6288539631019,9
19,760,780,106.26081609421657,19
20,780,785,-66.31350690448345,4
